"run","tick","PersonID","OutDegree","MyNumofDealer","MoneySpendinLastNdays","TaxCollectedinLastNdays","TaxPaidinLastNdays","UnitsPurchasedinLastNdays","DrugConsumedinLastNdays","BrokerageinLastNdays","BuythroughBrokerinLastNdays","CumBrokerageDone","CumBuythroughBroker","CumlPricePaidPer12UnitsWithoutTax","CumlPricePaidPer12UnitWithTax","MoneySpentfromNormalAccountinLastNdays","CurTaxAccount","ActualPricePaidPer12UnitsinLastNdays"
1,48.0,136,6,2.0,120.0,100.0,0.0,12.0,12.0,5.0,0.0,5.0,0.0,120.0,20.0,20.0,0.0,20.0
1,48.0,158,9,0.0,120.0,0.0,20.0,12.0,10.0,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,99,9,1.0,120.0,40.0,0.0,12.0,12.0,2.0,0.0,2.0,0.0,120.0,80.0,80.0,0.0,80.0
1,48.0,35,10,0.0,120.0,0.0,20.0,12.0,11.25,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,498,10,2.0,120.0,80.0,0.0,12.0,12.0,4.0,0.0,4.0,0.0,120.0,40.0,40.0,0.0,40.0
1,48.0,173,10,4.0,120.0,20.0,0.0,12.0,12.0,1.0,0.0,1.0,0.0,120.0,100.0,100.0,0.0,100.0
1,48.0,28,8,1.0,120.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,0.0,120.0
1,48.0,466,3,3.0,120.0,20.0,0.0,12.0,12.0,1.0,0.0,1.0,0.0,120.0,100.0,100.0,0.0,100.0
1,48.0,401,3,0.0,120.0,0.0,20.0,12.0,6.0,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,139,14,2.0,120.0,20.0,0.0,12.0,12.0,1.0,0.0,1.0,0.0,120.0,100.0,100.0,0.0,100.0
1,48.0,80,8,3.0,120.0,80.0,0.0,12.0,12.0,4.0,0.0,4.0,0.0,120.0,40.0,40.0,0.0,40.0
1,48.0,383,8,6.0,120.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,0.0,120.0
1,48.0,241,8,0.0,120.0,0.0,20.0,12.0,11.75,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,456,8,2.0,120.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,0.0,120.0
1,48.0,333,10,0.0,120.0,0.0,20.0,12.0,11.75,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,418,9,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,51,5,3.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,179,7,1.0,120.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,0.0,120.0
1,48.0,230,10,1.0,120.0,80.0,0.0,12.0,12.0,4.0,0.0,4.0,0.0,120.0,40.0,40.0,0.0,40.0
1,48.0,471,10,1.0,120.0,80.0,0.0,12.0,12.0,4.0,0.0,4.0,0.0,120.0,40.0,40.0,0.0,40.0
1,48.0,165,11,3.0,120.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,0.0,120.0
